Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
left_pinky_proximal,0.0014625,-0.00076794,-0.02942,0,0,0,0.0093522,3.1297E-06,6.9704E-09,1.4362E-07,3.0924E-06,-1.4314E-07,2.4427E-07,0,0,0,0,0,0,package://zong_zuang/meshes/left_pinky_proximal.STL,1,1,1,1,0,0,0,0,0,0,package://zong_zuang/meshes/left_pinky_proximal.STL,,Right Arm Joint-1/joint_right_wrist_lower-1/装配体1-3/食指-3,left_xiaoshouzhi_xi,left_pinky_proximal_zhou,joint_left_pinky_proximal,revolute,-0.014267,-0.027944,-0.13237,0,0,0,left_wrist_lower,0.99875,-0.0039204,0.049808,0,0,0,0,,,,,,,,
right_shoulder_inner,-0.037916,0.026343,0.00096074,0,0,0,0.10626,0.00022993,2.4883E-05,-1.4916E-07,0.00015335,4.2201E-06,0.00015312,0,0,0,0,0,0,package://zong_zuang/meshes/right_shoulder_inner.STL,1,1,1,1,0,0,0,0,0,0,package://zong_zuang/meshes/right_shoulder_inner.STL,,Left Arm Joint-1/Joint-a-1/left-a-a-1;Left Arm Joint-1/Joint-a-1/left-a-b-1,right_2_xi,right_shoulder_inner_zhou,joint_right_shoulder_inner,revolute,0.031622,-0.22373,0.27507,0,0,0,waist_yaw,-0.0039253,-0.99999,0,0,0,0,0,,,,,,,,
right_shoulder_outer,-0.013825,-0.0010475,-0.063368,0,0,0,0.13388,0.0003745,-8.0593E-07,-2.0647E-05,0.00028965,5.5265E-06,0.00012872,0,0,0,0,0,0,package://zong_zuang/meshes/right_shoulder_outer.STL,1,1,1,1,0,0,0,0,0,0,package://zong_zuang/meshes/right_shoulder_outer.STL,,Left Arm Joint-1/Joint-B-1/left-a-c-1;Left Arm Joint-1/Joint-B-1/left-a-d-1,right_2_xi,roght_shoulder_outter_zhou,joint_right_shoulder_outer,revolute,0,0,0,0,0,0,right_shoulder_inner,-0.99999,0.0039253,0,0,0,0,0,,,,,,,,
right_upper_arm,-0.029235,0.0035106,-0.11157,0,0,0,0.094933,0.00059267,-2.989E-06,-1.6244E-06,0.00053063,3.2187E-05,8.6661E-05,0,0,0,0,0,0,package://zong_zuang/meshes/right_upper_arm.STL,1,1,1,1,0,0,0,0,0,0,package://zong_zuang/meshes/right_upper_arm.STL,,Left Arm Joint-1/Joint-c-1/dien-bs-1;Left Arm Joint-1/Joint-c-1/dien-as-1,right_3_xi,right_upper_arm_zhou,joint_right_upper_arm,revolute,-0.02325,9.1264E-05,-0.14025,0,0,0,right_shoulder_outer,0,0,1,0,0,0,0,,,,,,,,
right_elbow,8.0014E-05,0.020926,-0.065929,0,0,0,0.25283,0.00027252,4.344E-07,5.9082E-08,0.00038169,1.9758E-05,0.00021451,0,0,0,0,0,0,package://zong_zuang/meshes/right_elbow.STL,1,1,1,1,0,0,0,0,0,0,package://zong_zuang/meshes/right_elbow.STL,,Left Arm Joint-1/Joint-D-1/left-a-g-1;Left Arm Joint-1/Joint-D-1/left-a-h-1;Left Arm Joint-1/Joint-D-1/模组DM_4340P-a-1/DM_4340P_20250407-1-1_1_2-1,right_4_xi,right_elbow_zhou,joint_right_elbow,revolute,-0.00011482,-0.02925,-0.205,0,0,0,right_upper_arm,0.0039253,0.99999,0,0,0,0,0,,,,,,,,
right_forearm,0.020967,-8.2304E-05,-0.020252,0,0,0,0.020224,5.1919E-06,-4.2053E-09,4.5565E-09,4.1205E-06,-1.7886E-11,4.2644E-06,0,0,0,0,0,0,package://zong_zuang/meshes/right_forearm.STL,1,1,1,1,0,0,0,0,0,0,package://zong_zuang/meshes/right_forearm.STL,,Left Arm Joint-1/Joint-E-1/4340模组连接块C-001-1;Left Arm Joint-1/Joint-E-1/4340模组连接块D-001-1;Left Arm Joint-1/Joint-E-1/4340连接E-001-1,right_5_xi,right_forearm_zhou,joint_right_forearm,revolute,0.000105,0.02675,-0.11175,0,0,0,right_elbow,0,0,1,0,0,0,0,,,,,,,,
right_wrist_upper,-0.032762,-0.002965,-0.029639,0,0,0,0.26765,0.00012333,-3.3178E-06,-5.5095E-06,0.00012354,-5.3039E-06,0.0001139,0,0,0,0,0,0,package://zong_zuang/meshes/right_wrist_upper.STL,1,1,1,1,0,0,0,0,0,0,package://zong_zuang/meshes/right_wrist_upper.STL,,Left Arm Joint-1/Joint-E-1/模组DM_4340P -B-1/DM_4340P_20250407-1-1_1_2-1;Left Arm Joint-1/Joint-F-1/4340连接HO-001-1;Left Arm Joint-1/Joint-F-1/模组DM_4340P-C-1/DM_4340P_20250407-1-1_1_2-1,right_6_xi,right_wrist_upper_zhou,joint_right_wrist_upper,revolute,0.029,-0.00011383,-0.04,0,0,0,right_forearm,-0.99999,0.0039253,0,0,0,0,0,,,,,,,,
right_wrist_lower,0.0011899,0.024592,-0.085745,0,0,0,0.19434,0.00013465,-3.4715E-07,1.0124E-05,0.00017015,2.365E-06,7.3808E-05,0,0,0,0,0,0,package://zong_zuang/meshes/right_wrist_lower.STL,1,1,1,1,0,0,0,0,0,0,package://zong_zuang/meshes/right_wrist_lower.STL,,Left Arm Joint-1/Joint-G-1/4340连接F-001-1;Left Arm Joint-1/Joint-G-1/4340连接G-002-1;Left Arm Joint-1/Joint-G-1/左手装配图001-1/手掌-2,right_7_xi,right_wrist_lower_zhou,joint_right_wrist_lower,revolute,-0.035969,-0.030209,-0.0592,0,0,0,right_wrist_upper,0.0039253,0.99999,0,0,0,0,0,,,,,,,,
right_thumb_proximal,0.0074037,-2.9087E-05,-0.01251,0,0,0,0.012595,1.1862E-06,-1.7949E-10,1.3982E-07,1.1415E-06,-5.4642E-10,1.3415E-06,0,0,0,0,0,0,package://zong_zuang/meshes/right_thumb_proximal.STL,1,1,1,1,0,0,0,0,0,0,package://zong_zuang/meshes/right_thumb_proximal.STL,,Left Arm Joint-1/Joint-G-1/左手装配图001-1/母指-2,right_muzhi1_xi,right_thumb_proximal_zhou,joint_right_thumb_proximal,revolute,0.031741,0.027032,-0.073,0,0,0,right_wrist_lower,0,0,-1,0,0,0,0,,,,,,,,
right_thumb_distal,0.016115,-0.0006081,-0.013396,0,0,0,0.011386,1.1652E-06,9.724E-08,9.2482E-07,2.2564E-06,-7.5182E-08,1.6986E-06,0,0,0,0,0,0,package://zong_zuang/meshes/right_thumb_distal.STL,1,1,1,1,0,0,0,0,0,0,package://zong_zuang/meshes/right_thumb_distal.STL,,Left Arm Joint-1/Joint-G-1/左手装配图001-1/母指1-2,right_muzhi2_xi,right_thum_distal_zhou,joint_right_thumb_distal,revolute,0.018382,-7.2157E-05,-0.019916,0,0,0,right_thumb_proximal,-0.0039253,-0.99999,0,0,0,0,0,,,,,,,,
right_index_proximal,9.1786E-06,0.0019188,-0.029456,0,0,0,0.0093522,3.1368E-06,-1.6792E-10,6.3214E-10,3.0925E-06,1.4275E-07,2.3708E-07,0,0,0,0,0,0,package://zong_zuang/meshes/right_index_proximal.STL,1,1,1,1,0,0,0,0,0,0,package://zong_zuang/meshes/right_index_proximal.STL,,Left Arm Joint-1/Joint-G-1/左手装配图001-1/食指-8,right_shizhi_xi,right_index_proximal_zhou,joint_right_index_proximal,revolute,0.029455,0.024885,-0.1365,0,0,0,right_wrist_lower,-0.99999,0.0039253,0,0,0,0,0,,,,,,,,
right_middle_proximal,9.1786E-06,0.0019188,-0.029456,0,0,0,0.0093522,3.1368E-06,-1.6792E-10,6.3214E-10,3.0925E-06,1.4275E-07,2.3708E-07,0,0,0,0,0,0,package://zong_zuang/meshes/right_middle_proximal.STL,1,1,1,1,0,0,0,0,0,0,package://zong_zuang/meshes/right_middle_proximal.STL,,Left Arm Joint-1/Joint-G-1/左手装配图001-1/食指-7,right_zhongzhi_xi,right_middle_proximal_zhou,joint_right_middle_proximal,revolute,0.014455,0.024943,-0.1435,0,0,0,right_wrist_lower,-0.99999,0.0039253,0,0,0,0,0,,,,,,,,
right_ring_proximal,9.1786E-06,0.0019188,-0.029456,0,0,0,0.0093522,3.1368E-06,-1.6792E-10,6.3214E-10,3.0925E-06,1.4275E-07,2.3708E-07,0,0,0,0,0,0,package://zong_zuang/meshes/right_ring_proximal.STL,1,1,1,1,0,0,0,0,0,0,package://zong_zuang/meshes/right_ring_proximal.STL,,Left Arm Joint-1/Joint-G-1/左手装配图001-1/食指-6,right_wumingzhi_xi,right_ring_proximal_zhou,joint_right_ring_proximal,revolute,-0.0017173,0.025007,-0.1385,0,0,0,right_wrist_lower,0.99999,-0.0039253,0,0,0,0,0,,,,,,,,
right_pinky_proximal,9.1786E-06,0.0019188,-0.029456,0,0,0,0.0093522,3.1368E-06,-1.6792E-10,6.3214E-10,3.0925E-06,1.4275E-07,2.3708E-07,0,0,0,0,0,0,package://zong_zuang/meshes/right_pinky_proximal.STL,1,1,1,1,0,0,0,0,0,0,package://zong_zuang/meshes/right_pinky_proximal.STL,,Left Arm Joint-1/Joint-G-1/左手装配图001-1/食指-5,right_xiaomuzhi_xi,right_pinky_proximal_zhou,joint_right_pinky_proximal,revolute,-0.020634,0.025081,-0.1315,0,0,0,right_wrist_lower,0.99999,-0.0039253,0,0,0,0,0,,,,,,,,
